Taxa de analfabetismo - pessoas com 15 anos ou mais
Sigla;Código;Estado;2016;2017;2018;2019;2022;2023;
AC;12;Acre;12,3;11,5;11,3;10,9;8,5;9,4;
AL;27;Alagoas;18,4;17,3;16,2;16;14,4;14,2;
AM;13;Amazonas;6,6;5,9;5,5;5,1;4,9;5,1;
AP;16;Amapá;4,7;4,9;5,7;5,1;5;5,8;
BA;29;Bahia;12,1;12;11,9;12;10,3;10,2;
CE;23;Ceará;14,3;13,4;12,4;12,7;12;11,5;
DF;53;Distrito Federal;2,4;2,3;2,9;2,5;1,9;1,7;
ES;32;Espírito Santo;5,7;5,1;5;4,8;4,7;4,4;
GO;52;Goiás;5,9;5,4;5,2;4,6;4,5;4;
MA;21;Maranhão;15,8;15,8;15,3;14,6;12,1;11,5;
MG;31;Minas Gerais;5,7;5,6;5,4;5;4,8;4,6;
MS;50;Mato Grosso do Sul;5,7;4,6;4,5;4,6;4;3,9;
MT;51;Mato Grosso;5,9;6;6,4;5,6;4,9;4,5;
PA;15;Pará;8,6;8,2;8,2;7,8;7,4;6,9;
PB;25;Paraíba;15,4;15,7;15,2;15,1;13,6;13,2;
PE;26;Pernambuco;12;12,7;11;11;11;10,1;
PI;22;Piauí;16,1;15,6;15,5;15;14,8;13,3;
PR;41;Paraná;4,1;4,2;4,5;4,1;3,9;3,4;
RJ;33;Rio de Janeiro;2,5;2,4;2,2;1,9;2,1;2;
RN;24;Rio Grande do Norte;13,8;12,9;12,1;12,6;10,5;10,9;
RO;11;Rondônia;6;6,5;5,8;5,7;4,9;5,1;
RR;14;Roraima;6,1;5,6;5,5;4,6;3,9;4,2;
RS;43;Rio Grande do Sul;3;2,8;2,8;2,4;2,5;2,7;
SC;42;Santa Catarina;2,6;2,4;2,3;2,1;2,2;2;
SE;28;Sergipe;13,9;13,7;12,9;12,6;11,7;11,2;
SP;35;São Paulo;2,6;2,4;2,4;2,4;2,2;2,3;
TO;17;Tocantins;9,5;9,4;9,1;8,9;7,2;7,8;
