Índice de Gini (Pnad Contínua/A)
Sigla;Código;Estado;2020;2021;2022;2023;2024;
AC;12;Acre;0,515;0,539;0,523;0,511;0,504;
AL;27;Alagoas;0,51;0,526;0,498;0,486;0,518;
AM;13;Amazonas;0,533;0,541;0,509;0,512;0,474;
AP;16;Amapá;0,5;0,53;0,531;0,491;0,509;
BA;29;Bahia;0,537;0,546;0,511;0,49;0,481;
CE;23;Ceará;0,544;0,549;0,518;0,513;0,489;
DF;53;Distrito Federal;0,548;0,566;0,536;0,543;0,547;
ES;32;Espírito Santo;0,484;0,509;0,493;0,486;0,483;
GO;52;Goiás;0,445;0,467;0,456;0,473;0,463;
MA;21;Maranhão;0,482;0,53;0,491;0,492;0,487;
MG;31;Minas Gerais;0,46;0,487;0,466;0,476;0,449;
MS;50;Mato Grosso do Sul;0,47;0,496;0,478;0,477;0,455;
MT;51;Mato Grosso;0,462;0,461;0,45;0,452;0,442;
PA;15;Pará;0,48;0,529;0,508;0,501;0,492;
PB;25;Paraíba;0,512;0,562;0,558;0,559;0,495;
PE;26;Pernambuco;0,536;0,579;0,515;0,496;0,532;
PI;22;Piauí;0,474;0,516;0,518;0,552;0,493;
PR;41;Paraná;0,462;0,475;0,47;0,463;0,477;
RJ;33;Rio de Janeiro;0,548;0,565;0,54;0,54;0,523;
RN;24;Rio Grande do Norte;0,512;0,587;0,526;0,535;0,525;
RO;11;Rondônia;0,439;0,459;0,447;0,455;0,443;
RR;14;Roraima;0,54;0,596;0,547;0,52;0,53;
RS;43;Rio Grande do Sul;0,476;0,468;0,467;0,466;0,46;
SC;42;Santa Catarina;0,412;0,424;0,419;0,418;0,431;
SE;28;Sergipe;0,524;0,568;0,528;0,507;0,5;
SP;35;São Paulo;0,522;0,533;0,5;0,504;0,491;
TO;17;Tocantins;0,485;0,514;0,507;0,477;0,477;
