Rendimento domiciliar per capita médio (SIS/IBGE)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
AC;12;Acre;1126,66799004753;1112,65061011115;1116,26101818136;1157,39962965058;1050,71857026088;1025,58980601468;1180,28078967261;1113,23940114443;1122,50467904204;1011,46758708461;1073,66464167404;1074,35495100746;
AL;27;Alagoas;852,341618303658;860,481003340684;955,160086814059;906,135437088753;909,343051196662;868,275728974388;908,200533963113;906,041757698037;955,443555186744;869,463907257867;961,281623320264;1102,35916028865;
AM;13;Amazonas;1175,53788041147;1161,58132406543;1172,93819345801;1109,23136620753;973,768301144399;1096,40991727367;1002,52602332755;1019,87576954159;1009,46120042836;914,875913795966;990,727737612939;1165,82025270929;
AP;16;Amapá;1108,50156566112;1219,15388518041;1202,15546940775;1229,39083617391;1161,78121290587;1175,07584774054;1078,07078196635;1066,42224220622;1042,88169792415;953,255514530622;1217,73481079677;1491,75918304983;
BA;29;Bahia;1065,63829232009;1076,14560319485;1148,61290270499;1119,81814995996;1053,60345004934;1147,48820023933;1078,68474889343;1138,50918672648;1181,66385983687;981,299041851291;1046,79608531868;1128,86495578586;
CE;23;Ceará;1012,78711304749;1046,74582473813;1051,34134817277;1064,36631509768;1033,89094850542;1089,1405162535;1106,68704469517;1179,41727891538;1223,52512477206;1028,89834927969;1082,18270247116;1140,19098733156;
DF;53;Distrito Federal;3206,44429848152;3260,79953293259;3199,34582209607;3265,11105954091;3087,96177494584;3170,14503216781;3065,02811617662;3173,84068501935;2929,98247829858;2844,48955935704;2946,85389270138;3214,8454034387;
ES;32;Espírito Santo;1576,11145259559;1626,12425055748;1703,83200898355;1612,64256352623;1589,45578755291;1592,59343406978;1669,02253191632;1803,25366445078;1656,65355009841;1471,66003483571;1744,0366451237;1883,09706976389;
GO;52;Goiás;1587,08536338904;1693,00755180263;1683,36406009601;1591,08666012935;1521,35693998049;1653,1459406802;1640,39691604289;1589,89857217748;1518,61945530019;1440,80229492869;1645,03422468247;1972,98578136842;
MA;21;Maranhão;722,065717567136;743,123032530189;758,600191489217;776,131264784776;782,20113678033;784,659402261975;772,886154489443;782,154641950431;818,197681030015;722,710961567039;858,369323080649;968,525643775514;
MG;31;Minas Gerais;1518,94301739431;1584,60268554577;1648,68781375811;1639,61911799678;1536,93206103691;1601,29684343279;1628,30690049814;1634,82308313494;1581,1851127971;1482,00918299131;1567,01264252754;1862,8040336218;
MS;50;Mato Grosso do Sul;1632,58447996171;1697,06534543309;1773,64101706497;1604,14637273738;1764,25234093643;1721,46314197928;1863,90014451789;1893,98286770574;1786,83080563938;1639,1126860171;1868,02079564204;1990,104740983;
MT;51;Mato Grosso;1604,62533676244;1669,84270296728;1683,3261266621;1582,91083690183;1546,14642449971;1629,81533612616;1742,86899055999;1689,13273059486;1659,45295359387;1507,20221344929;1691,99589217978;1948,45200579279;
PA;15;Pará;1001,84655506553;1000,02341570165;1013,23629804923;990,68351277536;924,834166223661;932,856744091254;1079,31053422883;972,952751477628;1047,9185662735;934,295997657047;1112,71070184927;1273,03798678626;
PB;25;Paraíba;978,544922957619;1010,38878220513;1120,12496460455;1177,86776173804;1066,38079983282;1193,23268683038;1132,43412843517;1128,74084297267;1070,52785024573;1001,62312024101;1132,69545441303;1322,73964237058;
PE;26;Pernambuco;1139,46082061485;1222,04266629067;1315,10434391039;1248,97806552881;1161,70490004376;1105,94099920101;1098,34491418898;1179,71467299185;1092,61086523406;958,129331762154;1032,23540802812;1099,21918149868;
PI;22;Piauí;895,768563395607;1080,62842156472;1081,3131033698;1107,69281300253;1011,75976041269;994,159074817752;1038,47316457978;1031,51746265505;1039,60476627153;973,991154536482;1138,87448767048;1326,54575804207;
PR;41;Paraná;1925,49923424444;1981,99988212228;2020,23351973267;1875,88741567647;1901,70644766356;1944,70407518095;2025,12241120418;2014,39030409111;1866,97938818704;1762,96947354621;1873,0438805636;2045,53089711077;
