Taxa de homicídios (100.000 Habitantes)
Sigla;Código;Estado;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
AC;12;Acre;18,51;23,01;19,48;19,56;22,14;22,49;21,97;27,41;30,14;29,36;27,01;44,45;62,2;47,05;36,85;33,98;22,6;26,39;23,7417943107221;
AL;27;Alagoas;39,89;53,1;59,51;60,33;59,35;66,88;71,39;64,63;65,07;62,78;52,33;54,18;53,71;43,37;33,41;38,54;31,79;33,7;35,2836879432624;
AM;13;Amazonas;18,53;21,11;21,1;24,84;26,99;31,06;36,51;37,43;31,28;32,01;37,38;36,28;41,19;37,79;38,41;31,51;42,52;42,55;36,8396114664771;
AP;16;Amapá;32,96;32,81;27,02;34,25;30,32;38,83;30,54;36,22;30,61;34,09;38,22;48,7;48,01;51,36;42,68;44,9;52,64;40,48;57,3333333333333;
BA;29;Bahia;20,85;23,73;25,98;33,23;37,11;41,69;39,36;43,37;37,85;40,01;39,54;46,94;48,79;45,82;41,13;47,39;48,08;45,12;43,9163624294723;
CE;23;Ceará;20,98;21,81;23,19;23,89;25,33;31,8;32,73;44,63;50,95;52,31;46,75;40,63;60,23;53,99;26,47;43,45;37,56;32,62;32,037691401649;
DF;53;Distrito Federal;28,16;27,69;29,21;31,75;33,83;30,58;34,56;36,02;30;29,55;25,46;25,53;20,07;17,82;15,92;14,82;12,95;11,41;10,9532828282828;
ES;32;Espírito Santo;47;50,86;53,33;56,38;56,92;50,98;47,14;46,59;42,25;41,42;36,9;31,96;37,87;29,33;25,95;30,24;30,49;27,65;27,708830548926;
GO;52;Goiás;26,12;26,33;26,04;30,66;32,09;32,96;37,36;45,38;46,24;44,26;45,34;45,34;42,8;38,65;32,1;30,6;25,14;23,11;21,4266377910125;
MA;21;Maranhão;15,32;15,67;17,99;20,25;21,96;23,1;23,94;26,47;31,84;35,94;35,31;34,63;31,14;28,17;24,08;29,55;27,94;27,14;27,9199110122358;
MG;31;Minas Gerais;21,95;21,44;20,92;19,59;18,68;18,6;21,6;22,98;22,91;22,78;21,72;22,01;20,36;16,03;13,67;12,88;12,03;12,54;12,925453200148;
MS;50;Mato Grosso do Sul;27,87;29,72;30,46;29,92;30,71;26,79;27,16;27,26;24,35;26,72;23,91;25,02;24,29;20,81;17,67;17,47;19,4;19,67;20,6798866855524;
MT;51;Mato Grosso;32,36;31,36;30,55;31,68;33,31;32,03;32,8;34,47;36,39;42,12;36,84;35,7;32,95;28,73;25,69;27,99;24,89;30,32;30,7799442896936;
PA;15;Pará;27,63;29,15;30,27;39,06;40,22;46,44;39,97;41,37;42,72;42,68;44,95;50,85;54,68;53,19;39,58;32,32;32,43;32,89;28,5553808133004;
PB;25;Paraíba;20,72;22,77;23,67;27,49;33,5;38,63;42,57;39,97;39,62;39,33;38,32;33,88;33,31;31,13;23,72;28,24;28,17;27,23;26,4655383860682;
PE;26;Pernambuco;51,46;52,6;53,04;50,9;44,98;39,48;39,15;37,25;33,92;36,19;41,16;47,26;57,2;44,12;36,35;39,36;35,54;35,24;38,0076076899352;
PI;22;Piauí;12,24;13,77;12,49;11,57;12,24;13,18;14,01;16,61;18,78;22,45;20,29;21,82;19,45;18,96;17,38;20,53;23,28;24,09;21,9497426581895;
PR;41;Paraná;29,01;29,82;29,54;32,53;34,61;34,33;32,11;32,98;26,7;26,89;26,3;27,4;24,37;21,53;18,32;19,8;20,24;22,29;18,8618163230533;
RJ;33;Rio de Janeiro;48,16;47,48;41,62;35,67;33,51;35,44;29,67;29,4;31,22;34,74;30,62;36,38;38,38;37,62;20,57;27,81;26,87;21,43;24,3255497619587;
RN;24;Rio Grande do Norte;13,52;14,95;19,1;22,98;25,5;25,57;32,95;34,82;42,89;47;44,88;53,35;62,82;52,46;38,38;39,78;33,1;32,53;26,4396456256921;
RO;11;Rondônia;36,17;37,44;27,17;32,14;35,77;34,95;28,55;33,08;27,95;33,06;33,93;39,33;30,68;27,08;25,15;25,38;29,52;32,97;29,9837045084193;
RR;14;Roraima;24,28;27,52;27,93;25,44;28;26,86;20,64;30,67;43,85;31,79;40,15;39,67;47,45;71,8;38,63;37,54;39,52;38,64;35,9016393442623;
RS;43;Rio Grande do Sul;18,64;18,09;19,85;21,92;20,54;19,5;19,35;22,12;20,8;24,31;26,17;28,57;29,29;23,82;19,2;18,33;16,47;17,09;17,1842470506593;
SC;42;Santa Catarina;10,79;11,18;10,45;13,25;13,4;13,17;12,84;12,86;11,89;13,45;14,03;14,24;15,23;11,91;10,71;10,09;9,7;9,05;8,78270154831821;
SE;28;Sergipe;24,75;29,24;25,67;27,76;32,33;32,69;34,98;41,64;43,95;49,42;58,09;64,66;57,38;49,73;42,33;42,3;33,78;32,66;29,3771043771044;
SP;35;São Paulo;21,93;20,4;15,45;15,44;15,84;14,64;14,05;15,67;13,82;14,05;12,22;10,88;10,27;8,18;7,32;7,33;6,63;6,84;6,42973355589832;
TO;17;Tocantins;14,55;17,19;16,63;18,51;22,37;23,64;25,77;26,73;23,61;25,45;33,2;37,64;35,93;36,65;28,99;30,43;27,43;28,19;25,7529194837124;
