PIB Estadual - preços de mercado -  variação anual
Sigla;Código;Estado;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
AC;12;Acre;13,6516276546292;8,39946974606453;17,0827535331257;17,4432575594906;15,5620330236473;12,6155181125462;7,27705698486135;13,2800688848032;13,1782884564642;17,2980661377575;1,2193155682667;0,964838217570806;3,7712080056768;7,4139029930832;1,94958973325046;5,41492693194127;29,7278387334201;10,7684507865879;
AL;27;Alagoas;10,2500785516059;12,3423256037432;14,2310980703188;12,0325952055596;8,62486549567329;12,2016485716795;16,6744431640865;9,454609251364;7,59625351478658;9,90400892600391;13,1597749593325;6,68905878337172;6,83729953830845;2,955437020789;8,36321847589237;7,1885209295362;20,6689643766247;-0,261998059142465;
AM;13;Amazonas;9,29596751388261;17,5167227143667;8,88122876563926;10,6612608120102;5,08066410940477;20,4060831679847;16,1920891038165;2,13234293169458;14,9614173478923;4,35563792291923;-0,115912740021647;2,85508819267829;4,71745202610671;7,36704196584067;8,06304832915765;7,24530315561339;13,3701207694706;10,3469322339183;
AP;16;Amapá;12,5935357697517;22,6270141486761;13,8558163861611;15,5989424073721;7,77281867998348;9,97427995625483;14,2202251937563;18,2973565950363;14,6674814578701;4,98921689576029;3,44029275797438;3,46895488032755;7,94702462360032;8,48279811506436;4,17651297777992;5,55794045503883;8,82952973112137;17,4849108831533;
BA;29;Bahia;13,2938902609945;7,99158287291256;14,6639206218933;11,2850821051747;13,3766470252871;11,9448815771263;7,88972007539953;9,58549998587358;12,1988472197871;9,31717134548754;9,4287175482356;5,58891355251792;3,85914808271828;6,5180055126431;2,44584063247921;4,11959085979473;15,490931828483;14,1878108609076;
CE;23;Ceará;11,2999479328405;13,2511780050487;9,2868778260692;18,8844180324077;11,2295283332076;18,0600425375266;13,0577417028238;8,11400614976206;12,4392452873305;15,6075325783401;3,62968241221938;5,96546046684935;6,8623320333835;5,39630085231539;4,92066310752798;2,04138916378263;16,7572379675788;9,60355662704073;
DF;53;Distrito Federal;12,9049299751083;11,7897912527354;10,3265412341487;18,0886855157307;12,7146439944451;15,966658438955;7,20993011629785;6,16707414607982;7,19396336907335;12,2367879213442;9,20863819791294;9,24211186788053;3,89836216597479;4,12506669959542;7,37646659298379;-2,83844584089576;7,93554995740526;14,5832680898496;
ES;32;Espírito Santo;18,3424770336166;13,7031038403858;13,4568022650363;18,8477835590605;-3,98911195184296;23,2533989095282;24,2244378857719;10,2611310299399;0,362656305491531;9,8141104976692;-6,53638286951678;-9,22316837365508;3,78486783387856;20,8290397903836;0,237585658537364;0,801137451841823;34,5915447043648;-2,03283572380648;
GO;52;Goiás;5,40331088784662;13,9427721983986;16,3504669777891;15,4136793870621;12,6771266862486;14,9725459042523;13,6055045143768;14,3953635811804;9,03902176327712;9,0648560056193;5,22201944912775;4,68066539405507;5,60558934756483;1,94501487147833;6,63872319522288;7,40568143500198;20,3018566618423;18,1577203879135;
MA;21;Maranhão;13,4544187651612;18,3492497214312;3,43386375044122;23,4342110632352;8,07269995715009;12,9652826468168;12,597599294298;16,0069201292164;11,9106017811937;13,5123774934413;2,12639624763678;8,70845165720359;4,96157204853196;9,64537980442126;-0,855125595674279;9,83771327242884;16,8962217259945;11,8485683635322;
MG;31;Minas Gerais;9,596446365969;12,8979288850471;13,0234886656652;15,9149349767242;3,17156760885279;22,1537425285233;13,9555684662423;10,5362514160492;10,3377454195995;5,86655601695871;0,522077347509527;4,90616669327749;5,79377211966493;6,67972042429384;6,01696518168499;4,74224994523624;25,6020287911068;5,72969281606066;
MS;50;Mato Grosso do Sul;1,51012043825539;12,4029673354869;12,8126765465619;20,3907127079105;9,10697437438194;19,6188183019161;16,6329530100026;12,478948695161;11,5943055414927;14,0845103393411;5,23421790815728;10,603585794876;4,90155294320953;10,9679451420371;-0,0242088508104589;14,666171625275;15,963795985257;17,0203382809182;
MT;51;Mato Grosso;2,60083734991541;-10,3829415575857;23,8676665092842;29,3863758559643;7,09498835475959;7,41560942992177;22,1780745572226;15,2004808633004;11,9841149686381;13,4751795308928;6,1083897073844;15,3251113527479;2,39392550369754;8,35419604976111;3,40445130311722;25,7015302371002;30,641350459719;9,485014540297;
PA;15;Pará;8,71996054165717;13,4741959316676;12,7522031118134;17,5711686081144;1,16166848035018;34,0864173794524;19,3823685348205;8,47946772476703;13,2086754123736;2,7717898460206;5,06847757568139;5,50652120495031;12,3996801506398;3,94067078932824;10,5530982344784;21,0557545921956;21,7515658047758;-10,1797635694101;
PB;25;Paraíba;11,4190454625992;18,6862662700816;9,94238127084652;17,3714309559341;12,4242694370788;10,8899827544493;10,6992194971663;14,4956537253884;9,15297979688502;14,1430918605243;6,05519448656988;5,27750490765452;5,56976093016908;3,16814285404746;5,61174034167269;3,39181227025995;10,2121059692198;11,1317996358102;
PE;26;Pernambuco;11,6881442645797;10,4397573065063;12,5691541360339;12,7356707745401;13,2743873340192;21,8512947148905;13,3468783131062;16,1830353181549;10,2830747785183;9,91312151536221;1,17377137974338;6,61386366174877;8,52398778425635;2,61135787163471;6,17187073010629;-2,29769187969082;14,2292622063551;11,3283344186268;
PI;22;Piauí;13,8774083047812;24,7263353782368;2,81132905574187;17,9618501195938;16,9292812469528;17,5373232208315;16,4901361969422;10,3939145523662;9,23925240465491;20,5855638129546;3,78063836446552;5,79123674197539;9,53379048769348;11,0499663169453;4,76864319161433;6,84050455104068;13,5429611012218;13,7536063647638;
PR;41;Paraná;3,25064987043903;7,98952134965696;20,0224614452407;12,3933814191634;5,91960607626105;14,5059383366759;14,172410852491;11,0834168937736;16,7568504135432;4,37896981955969;8,29645003900795;6,59251802821022;4,89870884690864;4,3965899519255;5,98769828115328;4,62148783843636;12,7154289488968;11,7529004465374;
RJ;33;Rio de Janeiro;11,8667178360498;11,0840585697381;7,99367726867151;16,8637018980076;3,53305728102932;14,8620247870058;13,9843661501608;12,1140709850005;9,27856849721484;6,82091640485553;-1,77891579879934;-2,842761142115;4,87264260398659;12,9917573893971;2,77638779998626;-3,34700238714497;25,9314022824628;21,5117685399802;
RN;24;Rio Grande do Norte;15,7341605497392;14,6402464316225;14,9764806866053;9,80536364506483;7,06669398031618;16,9465720204619;13,288625611042;13,2200446784415;11,0019523311625;4,86064052733567;5,97580263839285;4,23840218873891;7,75604643158902;4,14201972926475;6,52119839159168;0,336890731541296;12,0200806662946;17,0097700936941;
RO;11;Rondônia;13,6958579566567;4,33903266359069;10,5989538031208;19,7194338199809;14,1127654545053;21,2059562960931;15,3373110722834;9,20410634177385;3,34972397046829;9,34909028712804;7,44131039180707;7,92330939851681;10,2781325430922;3,21221223928673;4,84784046516655;9,57162268660205;12,7354948447289;14,8278212002797;
RR;14;Roraima;13,131594395125;19,071092837482;10,5418819225068;15,1918658235835;17,1444993682183;17,0518205739623;10,0098506585934;5,58274490023507;16,8483895476697;8,13915639418581;5,11880906253022;7,52063989659182;9,9105467357145;10,4527832928491;6,89782967643652;12,1188181519927;13,5937686045847;15,8920461414787;
RS;43;Rio Grande do Sul;3,9412120259644;8,25726118835266;13,8103197871486;13,2254644361358;7,42003427832678;18,0597689377579;9,86832518101494;8,50030470494249;15,5451060188499;7,68108839072209;6,756586723923;7,01503823106772;3,54229206184558;8,03834602546302;5,50416609702944;-2,38822518837497;23,4300332274996;2,1246044549823;
SC;42;Santa Catarina;10,7720583850634;11,6668218285383;13,9074932248613;17,1112431143532;6,27383028352517;19,0764922313022;13,232838995161;10,1835473544693;11,8447463279633;13,0720413616301;2,69065359639961;3,08135459741828;7,99033882417929;7,55827716192993;8,39520212600404;8,04641732651231;22,7029902991974;8,79742784986441;
SE;28;Sergipe;8,20215085820926;13,7883834352567;10,954166427626;17,5642164948171;1,34867822390658;21,6409333972076;10,2381744171431;12,8654459460871;7,55727428646864;6,04609136985736;2,89305481960711;0,832305189289604;4,71751250686837;3,20915576503398;6,35799706796955;1,61150667149136;14,2078589142393;10,6261011382244;
